model,season,bin_lo,bin_hi,pred_mean,obs_rate,count
logit,2023-24,0.1,0.2,0.188802,0.033333,30
logit,2023-24,0.2,0.3,0.278212,0.253122,1201
logit,2023-24,0.3,0.4,0.357619,0.375328,98226
logit,2023-24,0.4,0.5,0.452615,0.438465,31722
logit,2023-24,0.5,0.6,0.554816,0.604612,87079
logit,2023-24,0.6,0.7,,,0
logit,2023-24,0.7,0.8,,,0
logit,2023-24,0.8,0.9,,,0
logit,2023-24,0.9,1.0,,,0
logit,2024-25,0.0,0.1,,,0
logit,2024-25,0.1,0.2,0.187019,0.019231,52
logit,2024-25,0.2,0.3,0.278256,0.271869,1589
logit,2024-25,0.3,0.4,0.357339,0.367675,101043
logit,2024-25,0.4,0.5,0.453390,0.441017,31509
logit,2024-25,0.5,0.6,0.554960,0.601043,83806
logit,2024-25,0.6,0.7,0.601445,0.697813,1006
logit,2024-25,0.7,0.8,,,0
logit,2024-25,0.8,0.9,,,0
logit,2024-25,0.9,1.0,,,0
logit,2025-26,0.0,0.1,,,0
logit,2025-26,0.1,0.2,0.187409,0.333333,12
logit,2025-26,0.2,0.3,0.281830,0.266406,1280
logit,2025-26,0.3,0.4,0.357832,0.365531,100785
logit,2025-26,0.4,0.5,0.452509,0.443521,31631
logit,2025-26,0.5,0.6,0.556837,0.606912,84083
logit,2025-26,0.6,0.7,0.602325,0.725564,1330
logit,2025-26,0.7,0.8,,,0
logit,2025-26,0.8,0.9,,,0
logit,2025-26,0.9,1.0,,,0
